run,label,epoch,loss,gamma_loss,gamma_mean,gamma_min,gamma_max,gamma_night_mean,sharpness_mean,sharpness_min,sharpness_max,night_prob_mean,AP,AP50,AP75,AR100
active_filter_aggressive,Active filter aggressive,18,0.179548,4.500606,2.43261,1.017817,4.671382,5.0,2.865219,0.035633,7.342763,0.358152,,,,
active_filter_aggressive,Active filter aggressive,19,0.182091,4.712019,2.488127,1.022086,4.720067,5.0,2.976255,0.044173,7.440133,0.372032,,,,
active_filter_aggressive,Active filter aggressive,20,0.172535,4.606207,2.457677,1.023391,4.709222,5.0,2.915353,0.046782,7.418444,0.364419,0.688,0.913,0.782,0.765
active_filter_aggressive,Active filter aggressive,21,0.170971,4.61966,2.469276,1.023284,4.696196,5.0,2.938551,0.046568,7.392392,0.367319,,,,
active_filter_aggressive,Active filter aggressive,22,0.167614,4.479894,2.425472,1.016467,4.694553,5.0,2.850943,0.032935,7.389104,0.356368,,,,
active_filter_aggressive,Active filter aggressive,23,0.163226,4.481619,2.432709,1.020417,4.695751,5.0,2.865418,0.040835,7.391502,0.358177,,,,
active_filter_aggressive,Active filter aggressive,24,0.16243,4.656262,2.468282,1.021989,4.716312,5.0,2.936563,0.043979,7.432623,0.36707,,,,
active_filter_aggressive,Active filter aggressive,25,0.157311,4.569714,2.453626,1.020543,4.717673,5.0,2.907252,0.041086,7.435345,0.363407,0.681,0.904,0.768,0.762
active_filter_aggressive,Active filter aggressive,26,0.158004,4.632943,2.470095,1.016757,4.719174,5.0,2.940189,0.033513,7.438347,0.367524,,,,
active_filter_aggressive,Active filter aggressive,27,0.155365,4.689241,2.478054,1.025066,4.693808,5.0,2.956108,0.050131,7.387616,0.369514,,,,
active_filter_aggressive,Active filter aggressive,28,0.152756,4.597184,2.460728,1.026948,4.703883,5.0,2.921456,0.053897,7.407765,0.365182,,,,
active_filter_aggressive,Active filter aggressive,29,0.15088,4.64034,2.461322,1.020297,4.705633,5.0,2.922643,0.040593,7.411265,0.36533,,,,
active_filter_aggressive,Active filter aggressive,30,0.149607,4.783566,2.496223,1.020988,4.711669,5.0,2.992445,0.041976,7.423337,0.374056,0.691,0.909,0.781,0.769
